veracity,Claim_by,Claim
FALSE,Claim via Social Media, UN Released Carbon Emissions Regulations Saying That Ships Will Have To Travel 30% Slower.
MOSTLY TRUE,Claim by Greg Abbott (R)," “As compared to last year, Texas has about 15% more power generation capacity.”"
BLATANT LIE,(International," A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”"
FALSE,Claim by the CO2 Coalition," “There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes”"
BLATANT LIE,Claim via Social Media, Klaus Schwab Says ‘Internet Must Be Reformed’ For The ‘Great Reset’
BLATANT LIE,Claim by Viral Video, claims to show a mass graveyard for Russian soldiers who were killed during the invasion of Ukraine.
FALSE,Claim via Social Media, Government Proposed Taxing Unrealized Gains For Most Americans.
FALSE,Claim via Social Media, Old Fauci clip about natural immunity applies to COVID-19 vaccines.
BLATANT LIE,(International, A supporter of Vice President Leni Robredo tweeted to say that they fired their helpers and drivers who are supporting rival candidate Bongbong Marcos
FALSE,Claim via Social Media, Joe Biden didn’t sign an antilynching bill in a ceremony outside the White House on March 29.
BLATANT LIE,Claim via Social Media, Ukrainian refugees beat a Russian teenager to death in Germany.
MOSTLY FALSE,Claim by Rick Scott (R), “Medicare goes bankrupt in four years. Social Security goes bankrupt in 12 years.”
FALSE,Claim via Social media, An Albert Einstein paper contradicts carbon dioxide-driven climate change.
FALSE,"Claim by Stew Peters, David Martin", “We are allowing human organisms to become bioweapon factories”
BLATANT LIE,(International, Video shows final moments before Boeing 737 plane crash in China
FALSE,Claim by Josh Mandel (R), Says Mike Gibbons said “military service doesn’t count as real work.”
TRUE,Claim via Social Media, Ketanji Brown Jackson Was The Judge During The Pizzagate Sentencing
FALSE,Claim via Social Media, “CDC is no longer releasing data comparing vaccinated vs unvaccinated deaths & hospitalizations.”
FALSE,Claim by Liz Wheeler, “If you don’t have hepatitis B then your baby’s not going to have hepatitis B”; “there’s 16 times the amount of aluminum that the FDA says can poison a baby”
MOSTLY FALSE,Claim via Social Media," “The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”"
BLATANT LIE,(International, Employers can be jailed under the “Corporate Manslaughter Act” for adverse vaccine reactions suffered by their employees.
MOSTLY FALSE,Claim by Tammy Duckworth (D), “An extra 2 whole months and 15 days. That’s how long it takes for white women to make the same amount men made in the same job last year. And it’s even worse for women of color.”
TRUE,Claim via Social Media, Federal coverage for COVID-19 treatment and testing for uninsured Americans ended.
MOSTLY FALSE,Claim by Republican National Committee, Biden told the press “I’m not gonna take any questions because I think it’s inappropriate”
FALSE,Claim via Social Media, “Oxygen kills cancer”; Otto Warburg won two Nobel Prizes for proving lack of oxygen is the cause of cancer
TRUE,Claim by Joe Biden (D), “Putin has the gall to say he’s ‘de-Nazifying’ Ukraine. It’s a lie.”
BLATANT LIE,(International," Children in Israel, Finland, Sweden and Switzerland are provided with rifles at school."
FALSE,Claim by Donald Trump (R)," “You go to a store, they don’t have bread.”"
MOSTLY TRUE,Claim by Ars Technica, The study by Rössner et al. “add[ed] further evidence for the usefulness of vaccines and their clear advantage over natural immunity”
FALSE,Claim by Chiropractor Jen DePice, “It hasn’t been mandatory that any adverse events are reported” to the Vaccine Adverse Event Reporting System following COVID-19 vaccination.
TRUE,Did you Know?," The Diomedes islands located between Russia and Alaska are less than 4 kilometers (2.5 miles) apart, with a 21-hour time difference."
MOSTLY FALSE,Claim by Dr. Oz (R), “David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia.”
BLATANT LIE,(International, “Private sources confirmed to Sputnik that 87 militants had left for Ukraine … all of the 87 used to be affiliated with Daesh [Arabic for Islamic State] before they merged into new groups.”
BLATANT LIE,Claim by David Perdue (R), The 2021 Georgia Senate runoff and the 2020 presidential election “were stolen.”
BLATANT LIE,"Claim by Ria Novosti, National Pulse, and Tucker Carlson", “Hunter Biden’s Rosemont Seneca investment fund financed the Pentagon’s military biological program in Ukraine.”
MOSTLY FALSE,Claim by Sean Ryan (D), “New York state has already lost 99% of its historic freshwater wetlands.”
FALSE,Claim via Social Media, Ukraine grows 25% Of the World’s Wheat.
BLATANT LIE,Claim by Charlie Kirk, The price of crude oil increased 513% between Joe Biden’s inauguration and the Russian invasion of Ukraine
BLATANT LIE,(International, Shane Warne’s son revealed his dad had chest pains from the COVID-19 vaccine prior to his death.
BLATANT LIE,Claim by Bob Good (R), Ketanji Brown Jackson “believes in abortion on demand up to the moment of birth.”
BLATANT LIE,Claim via Viral Image, Farmed salmon is poisonous and the dye used to make their grey flesh pink can cause humans to lose their eyesight
FALSE,Claim via Social Media, Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.
FALSE,Claim by frankspeech.com, Bombshell Proof Of Colorado Election Machine Manipulation
BLATANT LIE,Claim by Viral Rumor, Claims the government of Russia has announced a warrant for the arrest of billionaire George Soros.
BLATANT LIE,(International, White trail left behind by planes in sky spreads covid-19
BLATANT LIE,Claim via Social Media," Chelsea Manning is in jail, while George Bush and Dick Cheney are free."
BLATANT LIE,Claim via Social Media, Leaked visitor logs revealed that Rep. Adam Schiff visited sex trafficker Jeffrey Epstein’s private island 78 times.
FALSE,Claim by Marsha Blackburn (R)," “At the start of the COVID-19 pandemic. You advocated—again I quote—‘for each and every criminal defendant in D.C. Department of Corrections custody to be released.’ That would have been 1,500 criminals back on the street if you had had your way.” "
FALSE,Claim via Social Media, 60% of Democrats say they wouldn’t fight if America was invaded.
BLATANT LIE,Claim via Social Media, U.S. Army officially begins dishonorably discharging soldiers who haven’t taken the vaccine
FALSE,(International, Employers can be jailed under the “Corporate Manslaughter Act” for adverse vaccine reactions suffered by their employees.
BLATANT LIE,Claim via Social Media," Virginia Tech swimmer Reka Gyorgy tweeted, “My finals spot was stolen by Lia Thomas, who is a biological male.”"
BLATANT LIE,Claim, A picture of U.S. President Joe Biden in front of the White House in March 2022 was “staged” or digitally altered to add trees.
BLATANT LIE,Claim by Mick McGuire (R)," Ketanji Brown Jackson has “a weak record — defund police, abolish ICE and now a completely open border policy.”"
FALSE,Claim via Social Media, NPR published an article about the January 6 2021 storming of the US capitol before it happened.
BLATANT LIE,Claim via Social Media," A “baby’s immune system” cannot “safely handle 8 different antigens 💉 (toxins, bacteria, DNA) in 1 day”"
FALSE,(International," The so-called collective West does not need a strong and sovereign Russia, and will not forgive us our independent policy and standing up for our national interests. It is trying to divide our society. It’s aim is to destroy Russia.”"
FALSE,Claim via Social media, “It was Republicans who nominated the 1st Black woman to the SCOTUS & she was BLOCKED & filibustered by … Joe Biden.”
TRUE,Did he say it? U.S. President Joe Biden told U.S. troops in Poland about Ukraine, “You’re gonna see when you’re there.”
BLATANT LIE,Claim via Social media, George Soros said on CNN he helped overthrow the former Ukrainian president.
FALSE,Claim by Viral Video, purportedly shows a man being arrested for wearing a shirt with the phrase “We the people” on it.
BLATANT LIE,Claim by Social media," CNN tweeted image of Serbian building, claimed it was bombed Ukraine hotel."
FALSE,(International, “Accusing China of spreading disinformation related to Ukraine is in itself disinformation.”
FALSE,Claim via Social Media, Biden “wants to buy lithium from China for electric cars.”
MOSTLY TRUE,"Claim by The Blaze, Chicks on the Right, Epoch Times"," The CDC “removed tens of thousands of deaths linked to COVID-19, including nearly a quarter of deaths it had listed in those under 18 years old”"
MOSTLY FALSE,Claim via Social Media, San Francisco changed the name of Abraham Lincoln High School.
MOSTLY FALSE,Claim by Alabama’s Future, Mo Brooks “voted to cut off funding to destroy ISIS terrorists in the middle of the fight.”
BLATANT LIE,Claim by dailyexpose.uk, Canadian Government Did Publish Data Suggesting People Triple-Vaccinated For COVID-19 Have Developed AIDS and Are five times More Likely To Die Of COVID Than Unvaccinated.
FALSE,(International," In 2008, oil prices were 50 per cent higher than in 2022 but petrol was almost half the price."
FALSE,Claim via Bitchute Video, The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events” listed in a confidential report.
MOSTLY FALSE,Claim by Marty Makary via Fox News," Natural immunity protects better than vaccination; “the mortality risk of an un-boosted person under age 30 was zero”; cloth face masks, school closures had zero benefits for children and some harm"
FALSE,Claim by Pennsylvania Conservative Fund, “[Dr. Mehmet] Oz was a spokesman for a group who wanted to defund the police.”
TRUE,Claim by Bernie Sanders (I), Oil companies saw massive jumps in their oil revenues.
